,TCGA.AB.2856.03A,TCGA.AB.2849.03A,TCGA.AB.2971.03A,TCGA.AB.2930.03A,TCGA.AB.2891.03A,TCGA.AB.2872.03A,TCGA.AB.2851.03A,TCGA.AB.3011.03A,TCGA.AB.2949.03B
ENSG00000000003.13,7,9,1,1,4,14,3,1,34
ENSG00000000005.5,0,1,0,0,0,0,0,0,1
ENSG00000000419.11,689,661,555,1034,574,463,630,481,1004
ENSG00000000457.12,633,1434,855,1061,796,795,705,659,1009
ENSG00000000460.15,372,1211,519,1011,856,671,318,590,732
ENSG00000000938.11,14712,405,6076,5356,1885,4203,23515,474,2699
ENSG00000000971.14,329,251,114,75,220,124,14,472,74
ENSG00000001036.12,1678,786,1195,916,1253,1008,1845,887,844
ENSG00000001084.9,1539,4423,1165,1871,2469,892,1749,1244,2022
ENSG00000001167.13,1558,5038,1707,3965,3179,2334,2075,3184,3860
ENSG00000001460.16,202,246,166,264,175,203,160,216,175
ENSG00000001461.15,2004,2773,1989,3301,1661,1612,1869,1830,2840
ENSG00000001497.15,2545,1932,1259,3631,1685,1879,1411,1440,2489
ENSG00000001561.6,403,1693,390,170,1023,261,351,327,558
ENSG00000001617.10,15,55,10,15,26,72,37,11,419
ENSG00000001626.13,0,8,8,0,1,0,3,2,0
ENSG00000001629.8,1207,4629,2206,2988,2395,1789,1889,2078,3149
ENSG00000001630.14,54,16,45,110,118,51,70,39,93
ENSG00000001631.13,1189,3317,2359,2846,1673,2640,1449,1917,2121
ENSG00000002016.15,1060,1846,1473,1655,1003,2572,1785,2191,1336
ENSG00000002079.11,15,90,27,50,64,53,26,63,22
ENSG00000002330.12,486,133,199,478,259,294,428,305,365
ENSG00000002549.11,2199,1781,2143,2615,3155,573,1936,660,3047
ENSG00000002586.16,15750,13280,5559,7281,7934,6654,5499,7293,11534
ENSG00000002587.8,5,11,771,20,53,9,20,31,65
ENSG00000002726.18,0,29,325,6,12,491,111,71,48
ENSG00000002745.11,8,24,40,26,15,47,20,26,7
ENSG00000002746.13,1,13,3,4,4,9,7,3,2
ENSG00000002822.14,1440,734,787,1398,575,995,1093,698,1014
ENSG00000002834.16,10488,7991,5281,9209,7549,5689,9905,4457,6445
ENSG00000002919.13,1545,663,729,824,817,473,1438,511,925
ENSG00000002933.6,21,49,1460,31,14,30,280,103,427
ENSG00000003056.6,4845,3265,2794,4404,2446,3018,4172,2003,4917
ENSG00000003096.12,589,41,37,1268,505,14,61,120,720
ENSG00000003137.7,3,2,0,1,4,8,2,4,34
ENSG00000003147.16,1078,1520,430,876,163,827,314,426,320
ENSG00000003249.12,16,102,8,19,25,24,29,39,9
ENSG00000003393.13,1458,1470,1499,2682,825,3089,1362,1517,3107
ENSG00000003400.13,2816,1964,1889,2862,2039,1227,2711,1206,2658
ENSG00000003402.18,6733,8759,10483,9901,8179,16972,14238,7527,9888
ENSG00000003436.13,869,2827,594,1581,1915,156,800,2545,3792
ENSG00000003509.14,352,955,615,1001,439,527,485,417,941
ENSG00000003756.15,9237,11975,6955,17610,6944,9542,9155,8094,12704
ENSG00000003987.12,139,587,846,258,218,840,280,590,457
ENSG00000003989.15,13,63,120,1,18,35,3,23,25
ENSG00000004059.9,3385,867,1202,2077,1810,1509,2338,1080,1690
ENSG00000004139.12,402,1244,629,701,143,515,588,612,817
ENSG00000004142.10,3124,1549,941,3163,2154,1092,1690,1016,2068
ENSG00000004399.11,10700,18200,3564,14090,15330,12983,13615,10370,21187
ENSG00000004455.15,14740,2653,7671,14564,5901,4965,6155,5796,6150
ENSG00000004468.11,12454,14084,3442,27279,8616,24799,2137,3041,7107
ENSG00000004478.7,3441,3536,702,4311,2190,1309,2112,1495,4885
ENSG00000004487.14,3761,6372,2926,5276,3431,2877,2460,3698,5424
ENSG00000004534.13,4848,6306,4534,9758,4531,4640,4839,5159,6466
ENSG00000004660.13,544,185,310,909,490,2205,1010,247,734
ENSG00000004700.14,517,1163,814,1369,759,540,1024,589,1461
ENSG00000004766.14,543,1208,851,1040,887,678,746,628,973
ENSG00000004776.10,5,23,9,9,12,15,2,12,18
ENSG00000004777.17,1908,757,1147,5154,2292,2233,1045,3140,2507
ENSG00000004779.8,1229,384,460,1139,634,499,631,441,886
ENSG00000004799.7,249,318,434,29,31,19,1672,5,403
ENSG00000004809.12,1186,1251,607,1786,948,1783,685,827,1530
ENSG00000004838.12,128,74,106,202,65,108,165,127,86
ENSG00000004846.15,2,34,1,3,4,4,1,1,4
ENSG00000004848.6,1,0,4,1,2,1,2,7,1
ENSG00000004864.12,781,735,794,1055,561,772,755,665,893
ENSG00000004866.17,827,152,394,1122,1055,761,417,22,1406
ENSG00000004897.10,1507,6252,1781,3284,2002,2860,1777,1345,2723
ENSG00000004939.12,2689,22604,276,2387,599,4626,92,999,1763
